Title,Location,Job_Type,Exp_level,Exp_year
Business Intelligence Assistant Manager,"Nasr City, ,Cairo, ,Egypt ",Full Time,Experienced,· 
Salesforce Engineer- Remote,"Cairo, ,Egypt ",Full Time,Manager,· 
IT Section Head,"Maadi, ,Cairo, ,Egypt ",Full Time,Experienced,· 
Senior Infrastructure Engineer,"Cairo, ,Egypt ",Full Time,Not specified,Computer 
"Senior Manager, Cloud Infrastructure Engineering","Cairo, ,Egypt ",Full Time,Not specified,Full Time
"Senior Manager, Cloud Infrastructure Engineering","Cairo, ,Egypt ",Full Time,Not specified,Computer 
RSO Specialist (Project based end of 2025),"Cairo, ,Egypt ",Full Time,Not specified,
Applications Support Specialist,"Mokattam, ,Cairo, ,Egypt ",Full Time,Experienced,· 
Field Service Expert,"Cairo, ,Egypt ",Full Time,Not specified,
Field Service Expert,"Cairo, ,Egypt ",Full Time,Not specified,
Product Manager,"Downtown, ,Cairo, ,Egypt ",Full Time,Manager,· 
Senior Backend Software Engineer,"Cairo, ,Egypt ",Full Time,Not specified,Computer 
Quality Assurance Specialist,"Sidi Bishr, ,Alexandria, ,Egypt ",Full Time,Experienced,· 
"ETIC, Business Analyst- Senior Associate","Cairo, ,Egypt ",Full Time,Not specified,Computer 
IT Team Leader,"Heliopolis, ,Cairo, ,Egypt ",Full Time,Manager,· 
Senior Product Owner,"Smart Village, ,Giza, ,Egypt ",Full Time,Experienced,· 
Sales Representative - English,"Cairo, ,Egypt ",Full Time,Not specified,
SQL Developer,"Heliopolis, ,Cairo, ,Egypt ",Full Time,Experienced,· 
Senior Backend Engineer / Python - Flying Pharmacist,"Cairo, ,Egypt ",Full Time,Not specified,Computer 
Customer Success Manager - B2B SaaS,"Cairo, ,Egypt ",Full Time,Not specified,Full Time
Backend Engineer (Remote),"Cairo, ,Egypt ",Full Time,Not specified,Computer 
Site Engineer-Partitions,"New Cairo, ,Cairo, ,Egypt ",Full Time,Entry Level,· 
Cloud Tech Support Engineer L1 Egypt - Cairo - Orange Business,"Cairo, ,Egypt ",Full Time,Not specified,computer 
Senior Quality manager Egypt - Cairo - Orange Business,"Cairo, ,Egypt ",Full Time,Not specified,Computer 
SAP SD Consultant - Experienced Level,"Cairo, ,Egypt ",Full Time,Not specified,Computer 
TLS - Compliance - Intern,"Cairo, ,Egypt ",Full Time,Not specified,Computer 
Senior Health Representative - Alex,"Cairo, ,Egypt ",Full Time,Not specified,
Team Lead Full stack .NET,"Maadi, ,Cairo, ,Egypt ",Full Time,Manager,· 
Technical Lead Full Stack,"Mohandessin, ,Giza, ,Egypt ",Full Time,Experienced,· 
Senior Full Stack Developer .Net + Angular,"New Cairo, ,Cairo, ,Egypt ",Full Time,Experienced,· 
Microsoft Dynamics AX 365 Functional Consultant,"Maadi, ,Cairo, ,Egypt ",Full Time,Experienced,· 
Junior Operations Engineer - Network/Cloud,"Giza, ,Egypt ",Full Time,Entry Level,· 
Business Analyst (Excellent English Speaker),"Nozha, ,Cairo, ,Egypt ",Full Time,Entry Level,· 
Backend Developer,"Maadi, ,Cairo, ,Egypt ",Full Time,Entry Level,· 
Product Manager,"Cairo, ,Egypt ",Full Time,Not specified,Full Time
Senior Quality Assurance Engineer,"Cairo, ,Egypt ",Full Time,Not specified,Computer 
Application Support Lead,"Cairo, ,Egypt ",Full Time,Not specified,Computer 
IT Infrastructure Lead,"Smouha, ,Alexandria, ,Egypt ",Full Time,Experienced,· 
Shared Services Manager (Post Production Workflow Supervisor),"Cairo, ,Egypt ",Full Time,Not specified,
Product Specialist - Nasr City,"Nasr City, ,Cairo, ,Egypt ",Full Time,Entry Level,· 
IT Specialist,"6th of October, ,Giza, ,Egypt ",Full Time,Experienced,· 
Flutter developer,"New Cairo, ,Cairo, ,Egypt ",Full Time,Experienced,· 
IT Administrator,"Maadi, ,Cairo, ,Egypt ",Full Time,Experienced,· 
